YEAR,DIVISION_ID,DIVISION,NPA,LOCATION,PLACE_TYPE,PLACE_DETAIL,NIBRS,STATUS,MONTH
2019,12,Hickory Grove,323,Parking Lot,Retail,Grocery Store/Supermarket,Damage/Vandalism Of Property,Open,07
2019,26,Westover,290,Indoors,Commercial Place,Hotel/Motel,Other Unlisted Non-Criminal,Open,07
2019,11,North,160,Outdoors,Residential,Apartment/Duplex Private Res,Aggravated Assault,Closed,07
2019,12,Hickory Grove,50,Outdoors,Residential,Apartment/Duplex Private Res,Simple Assault,Open,07
2019,06,Eastway,200,Indoors,Residential,Apartment/Duplex Private Res,Aggravated Assault,Closed,07
2019,17,Independence,16,Indoors,Residential,Private Residence,Missing Person,Closed,07
2019,01,Central,342,Indoors,Retail,Other - Retail,Shoplifting,Closed,07
2019,06,Eastway,22,Outdoors,Open Area,Street/Highway,Simple Assault,Open,07
2019,11,North,72,Indoors,Retail,Department Store,All Other Thefts,Open,07
2019,11,North,113,Indoors,Retail,Gas Station,Shoplifting,Open,07
2019,12,Hickory Grove,50,Indoors,Residential,Private Residence,Simple Assault,Closed,07
2019,16,Providence,47,Indoors,Retail,Convenience Store,Shoplifting,Open,07
2019,07,North Tryon,21,Indoors,Residential,Private Residence,Other Unlisted Non-Criminal,Closed,07
2019,26,Westover,30,Parking Lot,Open Area,Other - Open Area,Damage/Vandalism Of Property,Open,07
2019,26,Westover,306,Outdoors,Residential,Apartment/Duplex Private Res,Drug/Narcotic Violations,Closed,07
2019,14,University City,219,Indoors,Residential,Apartment/Duplex Private Res,Simple Assault,Open,07
2019,07,North Tryon,249,Outdoors,Open Area,Street/Highway,All Other Offenses,Open,07
2019,12,Hickory Grove,360,Indoors,Retail,Grocery Store/Supermarket,All Other Thefts,Closed,07
2019,14,University City,299,Indoors,Residential,Private Residence,Burglary/B&E,Open,07
2019,17,Independence,316,Indoors,Residential,Private Residence,Burglary/B&E,Open,07
2019,06,Eastway,315,Parking Lot,Residential,Apartment/Duplex Private Res,Damage/Vandalism Of Property,Open,07
2019,02,Metro,6,Outdoors,Residential,Private Residence,All Other Offenses,Open,07
2019,02,Metro,124,Indoors,Residential,Private Residence,Drug/Narcotic Violations,Closed,07
2019,22,South,261,Indoors,Residential,Private Residence,Damage/Vandalism Of Property,Closed,07
2019,01,Central,339,Indoors,Retail,Grocery Store/Supermarket,All Other Thefts,Closed,07
2019,02,Metro,124,Outdoors,Open Area,Street/Highway,All Other Offenses,Open,07
2019,12,Hickory Grove,323,Indoors,Retail,Grocery Store/Supermarket,Shoplifting,Open,07
2019,26,Westover,362,Outdoors,Open Area,Street/Highway,All Other Thefts,Open,07
2019,14,University City,234,Indoors,Commercial Place,Hotel/Motel,All Other Thefts,Open,07
2019,07,North Tryon,328,Outdoors,Open Area,Street/Highway,All Other Offenses,Open,07
2019,22,South,74,Outdoors,Residential,Apartment/Duplex Private Res,Motor Vehicle Theft,Open,07
2019,12,Hickory Grove,183,Outdoors,Open Area,Street/Highway,All Other Offenses,Open,07
2019,14,University City,153,Outdoors,Residential,Private Residence,All Other Thefts,Open,07
2019,11,North,238,Outdoors,Residential,Apartment/Duplex Private Res,Damage/Vandalism Of Property,Open,07
2019,26,Westover,294,Indoors,Residential,Private Residence,Simple Assault,Closed,07
2019,01,Central,3,Outdoors,Open Area,Street/Highway,Motor Vehicle Theft,Open,07
2019,21,Steele Creek,92,Parking Lot,Commercial Place,Other - Commercial Place,Motor Vehicle Theft,Open,07
2019,21,Steele Creek,97,Indoors,Residential,Private Residence,Simple Assault,Closed,07
2019,07,North Tryon,102,Indoors,Residential,Private Residence,Burglary/B&E,Open,07
2019,14,University City,329,Indoors,Residential,Private Residence,Burglary/B&E,Open,07
2019,06,Eastway,22,Indoors,Commercial Place,Other - Commercial Place,All Other Thefts,Open,07
2019,21,Steele Creek,95,Parking Lot,Commercial Place,Other - Commercial Place,Drug/Narcotic Violations,Open,07
2019,07,North Tryon,304,Indoors,Commercial Place,Other - Commercial Place,Intimidation,Open,07
2019,26,Westover,393,Indoors,Residential,Private Residence,Simple Assault,Open,07
2019,07,North Tryon,371,Outdoors,Residential,Private Residence,Other Unlisted Non-Criminal,Closed,07
2019,26,Westover,114,Outdoors,Open Area,Street/Highway,Other Unlisted Non-Criminal,Closed,07
2019,11,North,260,Indoors,Retail,Convenience Store,All Other Thefts,Closed,07
2019,21,Steele Creek,45,Indoors,Commercial Place,Restaurant/Diner/Coffee Shop,Intimidation,Open,07
2019,07,North Tryon,40,Indoors,Residential,Private Residence,All Other Offenses,Closed,07
2019,06,Eastway,10,Indoors,Residential,Private Residence,Simple Assault,Closed,07
2019,14,University City,331,Indoors,Retail,Other - Retail,Shoplifting,Open,07
2019,27,Freedom,330,Indoors,Residential,Private Residence,Other Unlisted Non-Criminal,Closed,07
2019,11,North,125,Outdoors,Residential,Apartment/Duplex Private Res,Other Unlisted Non-Criminal,Closed,07
2019,26,Westover,120,Outdoors,Residential,Private Residence,Damage/Vandalism Of Property,Closed,07
2019,27,Freedom,34,Outdoors,Residential,Private Residence,Aggravated Assault,Open,07
2019,21,Steele Creek,96,Indoors,Residential,Private Residence,Simple Assault,Open,07
2019,06,Eastway,22,Outdoors,Open Area,Street/Highway,Other Unlisted Non-Criminal,Closed,07
2019,11,North,280,Outdoors,Retail,Convenience Store,Damage/Vandalism Of Property,Open,07
2019,06,Eastway,315,Outdoors,Open Area,Street/Highway,All Other Offenses,Open,07
2019,21,Steele Creek,185,Parking Lot,Residential,Apartment/Duplex Private Res,Motor Vehicle Theft,Open,07
2019,02,Metro,295,Indoors,Residential,Apartment/Duplex Private Res,Burglary/B&E,Closed,07
2019,11,North,112,Other,Open Area,Street/Highway,All Other Offenses,Open,07
2019,11,North,238,Indoors,Residential,Private Residence,Aggravated Assault,Open,07
2019,02,Metro,311,Outdoors,Open Area,Street/Highway,Damage/Vandalism Of Property,Open,07
2019,27,Freedom,140,Indoors,Commercial Place,Hotel/Motel,Damage/Vandalism Of Property,Closed,07
2019,17,Independence,202,Outdoors,Residential,Apartment/Duplex Private Res,Simple Assault,Closed,07
2019,21,Steele Creek,142,Indoors,Retail,Convenience Store,Shoplifting,Open,07
2019,27,Freedom,73,Indoors,Residential,Private Residence,Simple Assault,Closed,07
2019,01,Central,163,Parking Deck,Residential,Apartment/Duplex Private Res,All Other Offenses,Open,07
2019,17,Independence,108,Outdoors,Residential,Apartment/Duplex Private Res,Missing Person,Closed,07
2019,14,University City,331,Indoors,Retail,Department Store,All Other Thefts,Closed,07
2019,11,North,156,Outdoors,Open Area,Street/Highway,Drug/Narcotic Violations,Closed,07
2019,12,Hickory Grove,146,Indoors,Retail,Department Store,Shoplifting,Closed,07
2019,17,Independence,134,Indoors,Residential,Private Residence,Other Unlisted Non-Criminal,Closed,07
2019,12,Hickory Grove,323,Indoors,Retail,Other - Retail,Shoplifting,Closed,07
2019,26,Westover,393,Indoors,Retail,Convenience Store,Shoplifting,Open,07
2019,26,Westover,290,Indoors,Retail,Gas Station,Burglary/B&E,Closed,07
2019,07,North Tryon,223,Outdoors,Open Area,Street/Highway,Aggravated Assault,Closed,07
2019,02,Metro,293,Outdoors,Residential,Apartment/Duplex Private Res,Motor Vehicle Theft,Open,07
2019,02,Metro,293,Indoors,Residential,Apartment/Duplex Private Res,Intimidation,Open,07
2019,02,Metro,141,Indoors,Commercial Place,Other - Commercial Place,All Other Thefts,Open,07
2019,26,Westover,114,Indoors,Residential,Private Residence,Damage/Vandalism Of Property,Open,07
2019,26,Westover,178,Parking Lot,Residential,Apartment/Duplex Private Res,Damage/Vandalism Of Property,Open,07
2019,22,South,42,Outdoors,Residential,Apartment/Duplex Private Res,Motor Vehicle Theft,Open,07
2019,06,Eastway,10,Indoors,Residential,Apartment/Duplex Private Res,Damage/Vandalism Of Property,Open,07
2018,14,University City,155,Indoors,Residential,Apartment/Duplex Private Res,Missing Person,Closed,09
2018,14,University City,299,Outdoors,Residential,Private Residence,Other Unlisted Non-Criminal,Closed,09
2018,07,North Tryon,138,Indoors,Commercial Place,Hotel/Motel,Simple Assault,Open,09
2018,14,University City,221,Indoors,Residential,Private Residence,Burglary/B&E,Open,09
2018,02,Metro,157,Parking Lot,Open Area,Other - Open Area,All Other Offenses,Closed,09
2018,17,Independence,270,Indoors,Residential,Apartment/Duplex Private Res,Other Unlisted Non-Criminal,Closed,09
2018,26,Westover,362,Outdoors,Residential,Private Residence,All Other Thefts,Closed,09
2018,02,Metro,6,Outdoors,Open Area,Street/Highway,All Other Offenses,Closed,09
2018,27,Freedom,387,Outdoors,Residential,Private Residence,All Other Offenses,Open,09
2018,22,South,201,Outdoors,Open Area,Street/Highway,Simple Assault,Closed,09
2018,17,Independence,16,Outdoors,Open Area,Other - Open Area,Other Unlisted Non-Criminal,Closed,09
2018,14,University City,336,Indoors,Residential,Apartment/Duplex Private Res,Burglary/B&E,Open,09
2018,12,Hickory Grove,59,Indoors,Residential,Apartment/Duplex Private Res,All Other Offenses,Open,09
2018,26,Westover,362,Indoors,Residential,Apartment/Duplex Private Res,Simple Assault,Closed,09
2018,14,University City,324,Indoors,Residential,Private Residence,All Other Thefts,Open,09
2018,21,Steele Creek,76,Outdoors,Open Area,Street/Highway,All Other Offenses,Open,09
2018,11,North,280,Outdoors,Open Area,Street/Highway,Aggravated Assault,Open,09
2018,02,Metro,374,Outdoors,Retail,Gas Station,Damage/Vandalism Of Property,Open,09
2018,11,North,191,Indoors,Residential,Apartment/Duplex Private Res,Intimidation,Open,09
2018,21,Steele Creek,78,Parking Lot,Residential,Apartment/Duplex Private Res,All Other Offenses,Closed,09
